_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
1090,16416,15319,city university london,london,,united kingdom,http://www.city.ac.uk,university london,egham,surrey,united kingdom,rhul
1091,16416,47923,city university london,london,,united kingdom,http://www.city.ac.uk,cass business school city university london,london,,united kingdom,city
1092,16416,21250,city university london,london,,united kingdom,http://www.city.ac.uk,cass business school city university london,london,,united kingdom,city
1093,16457,57250,german university cairo,new cairo city,,egypt,http://www.guc.edu.eg/,cairo university,giza,,egypt,yahoo
1094,16461,7186,hebrew university jerusalem,jerusalem,,israel,http://www.huji.ac.il,hebrew university jerusalem,jerusalem,#name?,israel,huji
1095,16461,19558,hebrew university jerusalem,jerusalem,,israel,http://www.huji.ac.il,hebrew university jerusalem,jerusalem,,israel,huji
1096,16466,56270,hong kong polytechnic university,hong kong,,hong kong,http://www.polyu.edu.hk,hong kong polytechnic university,hong kong,,hong kong,polyu
1097,16466,57092,hong kong polytechnic university,hong kong,,hong kong,http://www.polyu.edu.hk,hong kong polytechnic university,hong kong,hk (sar),hong kong,polyu
1098,16466,57261,hong kong polytechnic university,hong kong,,hong kong,http://www.polyu.edu.hk,hong kong polytechnic university,kowloon,,hong kong,polyu
1099,16466,57260,hong kong polytechnic university,hong kong,,hong kong,http://www.polyu.edu.hk,hong kong polytechnic university,kowloon,,hong kong,polyu
1100,16466,33245,hong kong polytechnic university,hong kong,,hong kong,http://www.polyu.edu.hk,hong kong polytechnic university,hung hom,kowloon,hong kong,polyu
1101,16467,40883,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1102,16467,53430,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,kowloon,,hong kong,ust
1103,16467,48051,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1104,16467,56567,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1105,16467,49540,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1106,16467,12215,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,kowloon,,hong kong,ust
1107,16467,29704,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1108,16467,57540,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,kowloon,,hong kong,ust
1109,16467,24149,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,kowloon,,hong kong,ust
