person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
8616,58016,florencio consulting,lyon,,france,gmail.com,gmail
4747,35347,iesa,caracas,distrito capita,venezuela,iesa.edu.ve,iesa
1599,7440,harvard university,boston,massachusetts,united states,hbs.edu,hbs
8352,57536,singapore university technology and design,singapore,,singapore,sutd.edu.sg,sutd
6154,46531,university st gallen,st. gallen,,switzerland,unisg.ch,unisg
4212,30582,erasmus university rotterdam,rotterdam,,netherlands,ese.eur.nl,eur
1921,9624,wake forest university,winston salem,north carolina,united states,wfu.edu,wfu
8865,58566,indian institute management ahmedabad,ahmedabad,gujarat,india,iimahd.ernet.in,ernet
1235,5672,insead,fontainebleau,cedex,france,insead.edu,insead
4162,30161,western university,london,on,canada,schulich.uwo.ca,uwo
284,1218,university california berkeley,berkeley,california,united states,ieor.berkeley.edu,berkeley
1809,8895,rwth aachen university,aachen,,germany,tim.rwth-aachen.de,rwth-aachen
5641,42623,florida international university,miami,florida,united states,fiu.edu,fiu
5135,38860,university st gallen,st. gallen,,switzerland,unisg.ch,unisg
5109,38673,university southern california,los angeles,california,united states,usc.edu,usc
7436,55141,university north carolina chapel hill,chapel hill,north carolina,united states,live.unc.edu,unc
7671,56144,york university,maple,on,canada,yorku.ca,yorku
7994,56836,purdue university west lafayette,west lafayette,indiana,united states,purdue.edu,purdue
6930,51950,indian institute management kozhikode,kohzikode,kerala,india,gmail.com,gmail
2439,14147,bi norwegian business school,oslo,other,norway,bi.no,bi
3666,25586,national university tainan,tainan city,,taiwan,gmail.com,gmail
8764,58324,university nottingham ningbo china,ningbo,,china,nottingham.edu.cn,nottingham
1080,5016,thunderbird,glendale,arizona,united states,thunderbird.edu,thunderbird
2384,13875,purdue university calumet,frankfort,illinois,united states,purduecal.edu,purduecal
7789,56415,university toronto,toronto,on,canada,mail.utoronto.ca,utoronto
8739,58260,university queensland australia,chanthabouly district,vientiane,laos,uqconnect.edu.au,uqconnect
7998,56841,lappeenranta university technology,lappeenranta,,finland,lut.fi,lut
7726,56263,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
800,3648,university texas austin,austin,texas,united states,mccombs.utexas.edu,utexas
7408,54901,university michigan ann arbor,ann arbor,michigan,united states,umich.edu,umich
3975,28756,university west georgia,carrollton,georgia,united states,westga.edu,westga
3683,25791,university south australia,adelaide,,australia,unisa.edu.au,unisa
7014,52452,saint leo university,north charleston,south carolina,united states,gmail.com,gmail
7907,56665,erasmus university rotterdam,rotterdam,,netherlands,rsm.nl,rsm
7826,56491,duke university,chapel hill,north carolina,united states,gmail.com,gmail
7891,56638,university new south wales,canberra,,australia,student.adfa.edu.au,adfa
7925,56694,university washington,seattle,washington,united states,uw.edu,uw
3789,26804,university college london,london,,united kingdom,ucl.ac.uk,ucl
2949,18641,rice university,houston,texas,united states,rice.edu,rice
5323,40155,case western reserve university,cleveland,ohio,united states,case.edu,case
2403,13995,louisiana state university,baton rouge,louisiana,united states,lsu.edu,lsu
349,1466,bocconi university,milan,,italy,unibocconi.it,unibocconi
2386,13896,la trobe university,bundoora,vic,australia,latrobe.edu.au,latrobe
6777,51021,virginia commonwealth university,richmond,virginia,united states,vcu.edu,vcu
2839,17540,florida state university,tallahassee,florida,united states,nettally.com,nettally
