_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
638,1577,56445,bemidji state university,bemidji,minnesota,united states,http://www.bemidjistate.edu,bemidji state university,bemidji,minnesota,united states,bemidjistate.edu
644,1582,4458,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
645,1582,1435,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
646,1582,14355,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
647,1582,57060,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,glencoe,illinois,united states,hotmail.com
648,1582,2649,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
649,1582,45884,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,springfield,illinois,united states,comcast.net
650,1582,1950,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,geneva,illinois,united states,ben.edu
651,1582,50397,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,olympia fields,illinois,united states,comcast.net
652,1582,48151,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,winfield,illinois,united states,aol.com
653,1582,8326,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,arlington heights,illinois,united states,ben.edu
654,1597,51628,bennett college,greensboro,north carolina,united states,http://www.bennett.edu,bennett college,pittsboro,north carolina,united states,bennett.edu
655,1600,5730,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,belmont,massachusetts,united states,bentley.edu
656,1600,2926,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley college,waltham,massachusetts,united states,bentley.edu
657,1600,345,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
658,1600,27875,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
659,1600,14259,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
660,1600,20310,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
661,1600,8760,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
662,1600,688,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
663,1600,34201,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
664,1600,5896,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
665,1600,41459,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
666,1600,28613,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
667,1600,4425,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
668,1600,5718,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
669,1600,14432,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
682,1616,11795,berry college,mount berry,georgia,united states,http://www.berry.edu,berry college,mount berry,georgia,united states,berry.edu
686,1695,37411,black hills state university,spearfish,south dakota,united states,http://www.bhsu.edu,black hills state university,spearfish,south dakota,united states,gmail.com
717,1707,2652,bloomsburg university pennsylvania,bloomsburg,pennsylvania,united states,http://www.bloomu.edu,bloomsburg university pennsylvania,bloomsburg,pennsylvania,united states,bloomu.edu
737,1729,42515,boston architectural college,boston,massachusetts,united states,http://www.the-bac.edu,boston college,boston,massachusetts,united states,bc.edu
788,1730,57793,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
789,1730,44440,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,watertown,massachusetts,united states,bc.edu
792,1730,42515,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,boston,massachusetts,united states,bc.edu
795,1730,2748,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
796,1730,49312,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,brighton,massachusetts,united states,bc.edu
797,1730,5259,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,newton highlands,massachusetts,united states,bc.edu
799,1730,37648,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
800,1730,38708,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,brighton,massachusetts,united states,gmail.com
801,1730,2938,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
808,1730,6374,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
810,1730,22989,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
811,1730,25418,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
812,1730,3162,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
815,1730,57795,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
819,1730,17299,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
821,1730,34356,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
822,1730,6607,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
823,1730,55621,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
824,1730,44392,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
826,1730,5922,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
827,1730,2325,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
829,1730,3113,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
832,1730,51400,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
839,1730,51876,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
840,1730,6467,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,chestnut hill,massachusetts,united states,bc.edu
841,1730,476,boston college,chestnut hill,massachusetts,united states,http://www.bc.edu,boston college,weston,massachusetts,united states,bc.edu
