person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
5102,university illinois chicago,chicago,illinois,united states,uic.edu,uic
5103,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
5105,wu vienna,vienna,,austria,wu.ac.at,wu
5108,university south australia,adelaide,south australia,australia,unisa.edu.au,unisa
5109,capella university,geneseo,illinois,united states,gmail.com,gmail
5114,georgia state university,atlanta,georgia,united states,gsu.edu,gsu
5118,centenary college louisiana,shreveport,louisiana,united states,centenary.edu,centenary
5128,college management israel,rishon letzion,,israel,post.tau.ac.il,tau
5134,university texas dallas,richardson,texas,united states,utdallas.edu,utdallas
5139,queensland university technology,brisbane,qld,australia,qut.edu.au,qut
5146,rutgers university,piscataway,new jersey,united states,smlr.rutgers.edu,rutgers
5148,montana state university,bozeman,montana,united states,montana.edu,montana
5150,harvard university,belchertown,massachusetts,united states,instituteforstrategicclarity.org,instituteforstrategicclarity
5159,federal university rio de janeiro,rio de janeiro,rj,brazil,coppead.ufrj.br,ufrj
5170,grenoble ecole de management,grenoble,,france,grenoble-em.com,grenoble-em
5175,university toronto,toronto,on,canada,rotman.utoronto.ca,utoronto
5182,michigan state university,east lansing,michigan,united states,bus.msu.edu,msu
5189,insead,fontainebleau,,france,insead.edu,insead
5191,northwestern university,evanston,illinois,united states,northwestern.edu,northwestern
5194,vu university amsterdam,amsterdam,amsterdam,netherlands,vu.nl,vu
5195,university houston,houston,texas,united states,uh.edu,uh
5197,catalyst,toronto,on,canada,catalyst.org,catalyst
5201,la trobe university,bundoora,victoria,australia,latrobe.edu.au,latrobe
5202,national university singapore,singapore,,singapore,nus.edu.sg,nus
5217,university edinburgh business school,edinburgh,scotland,united kingdom,ed.ac.uk,ed
5223,university dundee,dundee,angus,united kingdom,dundee.ac.uk,dundee
5226,university maryland,college park,maryland,united states,rhsmith.umd.edu,umd
5230,university new mexico,albuquerque,new mexico,united states,unm.edu,unm
5231,texas christian university,fort worth,texas,united states,tcu.edu,tcu
5234,suffolk university,boston,massachusetts,united states,suffolk.edu,suffolk
5235,university north texas,northlake,texas,united states,unt.edu,unt
5241,texas a m international university,laredo,texas,united states,tamiu.edu,tamiu
5243,eastern michigan university,ypsilanti,michigan,united states,emich.edu,emich
5245,harvard university,cambridge,massachusetts,united states,hks.harvard.edu,harvard
5248,wayne state university,detroit,michigan,united states,wayne.edu,wayne
5250,colorado state university,fort collins,colorado,united states,colostate.edu,colostate
5257,northern illinois university,dekalb,illinois,united states,niu.edu,niu
5259,boston college,newton highlands,massachusetts,united states,bc.edu,bc
5266,harvard university,boston,massachusetts,united states,hbs.edu,hbs
5267,university new mexico,albuquerque,new mexico,united states,mgt.unm.edu,unm
5273,tilburg university / erasmus university,tilburg,,netherlands,uvt.nl,uvt
5276,mannheim university,mannheim,,germany,ifm.uni-mannheim.de,uni-mannheim
5282,carnegie mellon university,pittsburgh,pennsylvania,united states,cmu.edu,cmu
5287,essec business school,cergy pontoise,cedex,france,essec.fr,essec
5291,university washington,seattle,washington,united states,uw.edu,uw
5292,ohio state university,columbus,ohio,united states,fisher.osu.edu,osu
5294,makerere university,kampala,,uganda,yahoo.com,yahoo
5296,california state university sacramento,sacramento,california,united states,csus.edu,csus
5307,bocconi university,milan,italy,italy,sdabocconi.it,sdabocconi
5323,stanford university,stanford,california,united states,stanford.edu,stanford
5325,university north carolina greensboro,greensboro,north carolina,united states,uncg.edu,uncg
5326,ohio state university,columbus,ohio,united states,fisher.osu.edu,osu
5327,kent state university,kent,ohio,united states,kent.edu,kent
5331,pennsylvania state university erie,erie,pennsylvania,united states,psu.edu,psu
5332,simon fraser university,vancouver,bc,canada,sfu.ca,sfu
5338,eccles school university utah,salt lake city,utah,united states,business.utah.edu,utah
5342,new paltz state university new york,saugerties,new york,united states,newpaltz.edu,newpaltz
5347,lehigh university,basking ridge,new jersey,united states,lehigh.edu,lehigh
5348,university michigan,ann arbor,michigan,united states,umich.edu,umich
5352,harvard university,boston,massachusetts,united states,hbs.edu,hbs
5360,imd,lausanne,,switzerland,imd.ch,imd
5362,esmt european school management and technology,berlin,berlin,germany,esmt.org,esmt
5367,arizona state university,phoenix,arizona,united states,asu.edu,asu
5372,university massachusetts lowell,lowell,massachusetts,united states,uml.edu,uml
5375,tulane university,new orleans,louisiana,united states,tulane.edu,tulane
5381,university illinois chicago,mokena,illinois,united states,uic.edu,uic
5384,san diego state university,san diego,california,united states,mail.sdsu.edu,sdsu
5390,temple university,philadelphia,pennsylvania,united states,temple.edu,temple
5399,university hong kong,pokfulam,,hong kong,business.hku.hk,hku
5406,university haifa,haifa,,israel,Univ.haifa.ac.il,haifa
5412,florida international university,miami,florida,united states,fiu.edu,fiu
5415,university british columbia,vancouver,bc,canada,sauder.ubc.ca,ubc
5424,university western australia,perth,washington,australia,uwa.edu.au,uwa
5427,university texas austin,austin,texas,united states,mccombs.utexas.edu,utexas
5435,university melbourne,melbourne,victoria,australia,unimelb.edu.au,unimelb
5436,university new south wales,sydney,nsw,australia,unsw.edu.au,unsw
5439,nanyang technological university,singapore,,singapore,ntu.edu.sg,ntu
5441,saint xavier university,chicago,illinois,united states,sxu.edu,sxu
5446,cornell university,ithaca,new york,united states,cornell.edu,cornell
5448,monmouth university,west long branch,new jersey,united states,monmouth.edu,monmouth
5449,michigan state university,east lansing,michigan,united states,msu.edu,msu
5450,university southern california,los angeles,california,united states,usc.edu,usc
5457,university southern california,los angeles,california,united states,marshall.usc.edu,usc
5462,university richmond,richmond,virginia,united states,richmond.edu,richmond
